ID,S,Izero,n,M
5410EC379982,40.3 15.1 10.86 247.53 45.76 18.69 7.67,26.554 288.338 13.597 49.045 0.363 0.768 55.743,17.87 11.0 11.69 12.58 -183.53 12.6 11.63,1.0 -3.21037888085201e-16 0.0801267259761302 1.7961899466417 0.539647798753298 -1.45006304743219 0.000373641384351771 -3.33277489909896e-16 1.0 -0.91794813060658 0.658465451844466 0.884524116884692 -2.08577180832792 -0.990337548111742 3.84918854851396e-16 7.6598807518183e-17 2.10536244235518 -9.86930752102836 0.0178100353205204 1.51799230667158 -0.0154740770933197 -4.52884105556361e-17 4.91322857471495e-17 -0.23580059354378 2.10536244235518 0.0921969605330689 -0.219553165512062 0.000933096634451774 1.98726688709279e-16 -1.40335093291518e-17 -1.73938765826597e-16 1.29811390320518e-15 1.02201857253031 -1.22325402946153 1.17294553412318e-16 7.38754627690822e-17 6.01663635456928e-17 1.00367535401129e-16 -5.29332494236613e-16 -0.0183963343055455 1.02201857253031 -2.40119621588585e-18 1.1277998263597e-33 -3.53348917559646e-17 7.44893168773204e-17 -2.20402024232026e-16 -6.75032610581862e-17 1.47833631793387e-16 1.0
5410EC3799B2,37.89 15.7 13.0 279.35 65.12 22.27 7.66,23.484 316.928 12.005 51.063 1.058 0.886 46.274,16.09 11.28 12.99 12.68 42.6 76.79 11.82,1.0 2.85045365246175e-17 -0.0742585420623481 2.50653034158846 0.290804219976108 -1.17543276733048 0.0012097936805619 -2.01285787695204e-16 1.0 -0.747125189669399 -0.702993643600012 1.00043206469334 -2.08161500816647 -0.993829753007993 1.20868407946737e-16 1.74626885218615e-16 1.80831270500615 -7.44988668208434 0.310065963725355 0.945950052467509 -0.00852825588058783 4.8285126560582e-17 7.15267087356636e-17 -0.196201928493167 1.80831270500615 0.066867268220906 -0.128626666667568 0.0002253157630438 -5.64162316368356e-17 2.12197406763637e-16 -1.15034280014318e-16 -4.52549727510344e-16 1.01925827352326 -0.982564975676421 -8.20033286396392e-17 1.30627810561133e-17 -1.50983921569725e-16 9.86069736899624e-17 1.93375153239306e-16 -0.0199774621610559 1.01925827352326 6.88267125027408e-17 0.0 0.0 0.0 0.0 0.0 0.0 1.0
5410EC379A2F,41.43 15.11 10.45 226.66 57.14 20.28 6.91,29.465 274.744 11.844 48.922 4.108 1.287 42.698,17.24 10.81 12.72 12.61 10.4 33.64 11.03,1.0 -6.10260729243432e-17 -0.0442849705281388 2.52786640469457 0.562188703391562 -1.45417547438803 0.0022249850785785 -1.56361725770276e-16 1.0 -0.93071954247323 0.373507044206484 1.1426300009733 -2.61777398596708 -0.990898538256386 2.65082808866164e-17 -3.36083782042476e-16 2.09298614181551 -9.71543237169341 0.379060268590027 1.12324969889875 -0.0133668141349819 6.93671483366769e-17 2.25999777373162e-17 -0.235460940954245 2.09298614181551 0.0521238709601477 -0.145767418310994 0.000703766590185457 -6.65228689486367e-17 -2.19761542700195e-17 2.21720671243239e-16 -1.0969557567305e-15 1.05811141544982 -1.16455742384407 -9.0067228948212e-17 -3.41325715693567e-18 -4.91665859597579e-17 2.79772143989738e-17 5.6256642851824e-17 -0.052799759630946 1.05811141544982 4.86532614883168e-17 0.0 0.0 0.0 0.0 0.0 0.0 1.0
5410EC379A50,42.22 12.76 9.62 237.44 42.14 21.67 8.2,23.906 266.682 12.372 54.556 2.709 1.2 51.726,17.14 10.85 12.5 13.39 12.61 62.17 10.91,1.0 -7.13645268665096e-17 -0.294251974904396 3.90063893144502 0.213008998669242 -1.28983392305201 0.0016124556201085 -2.8699556005111e-16 1.0 -1.01832021280754 2.06796736404945 1.2539327788663 -2.6099884685875 -0.991986597257255 2.08685971219951e-17 1.81761948538548e-16 3.10251260085493 -16.3874715577157 0.26397903087886 1.91496472175822 -0.014327403190748 5.35507892108446e-17 -2.65861055575452e-17 -0.398052366689687 3.10251260085493 0.0472130272767369 -0.266425676980638 0.000838205829372982 -3.15235014691765e-17 -1.61923513595779e-16 2.55580428893752e-16 -8.87846200451169e-16 1.02346628051147 -1.27534133214535 -3.92985918603239e-17 1.80319453152537e-19 2.32860613365327e-17 3.21175539600018e-17 -2.46317310324845e-16 -0.0188317795614111 1.02346628051147 4.51001842329042e-17 0.0 0.0 0.0 0.0 0.0 0.0 1.0
5410EC379A7F,37.6 14.58 12.78 240.1 49.36 17.74 7.12,22.951 319.746 13.002 49.332 4.437 0.696 52.664,16.97 11.16 12.54 12.83 10.84 36.86 12.16,1.0 -2.07088196267669e-16 -0.148072090275209 2.86366711467513 0.715311431874432 -1.8428950108726 0.00177883582143411 9.30233836121895e-17 1.0 -1.13374769176846 1.63609513586512 0.859913967976132 -2.51835390870636 -0.992352269343721 -3.52272615963631e-16 6.32624078396768e-17 2.57722991596942 -12.4093620453928 0.460632287164524 1.8224661263402 -0.0104326266998444 1.24150250273318e-16 -1.16347317922597e-16 -0.327565922319713 2.57722991596942 0.0212675508706918 -0.25941400299531 0.000525986853550202 1.23951640651977e-16 -1.01717050891859e-16 1.30348863917055e-16 2.7807127644074e-17 1.0407462566959 -1.23848804546812 1.80037967191555e-17 2.17025922015574e-19 3.99513895075328e-17 -5.57144358042124e-17 1.16001599099415e-16 -0.0342405518452951 1.0407462566959 -6.37519422079877e-17 0.0 0.0 0.0 0.0 0.0 0.0 1.0
5410EC379A91,37.95 16.59 12.94 255.42 59.61 18.03 7.29,23.584 389.426 12.752 46.305 4.009 2.381 40.881,15.98 10.97 11.95 12.52 8.81 14.46 10.7,1.0 1.27792417936404e-17 -0.0501625986585062 2.48561753856379 0.443436660565094 -1.38019503036914 0.00104162867012711 1.0889457193546e-16 1.0 -1.21844556943738 2.05501299203126 0.515124049255842 -2.42189466053535 -0.989741431627823 -7.90382562848676e-17 -4.66939343548682e-17 2.38876797476238 -11.4964236321389 0.330149733695813 2.07662615583725 -0.0148846760152219 6.42957612288266e-17 -6.00961329471501e-17 -0.288563171351296 2.38876797476238 0.0579413528530522 -0.295058066024058 0.00109806886263883 -2.38420331115513e-17 -1.07410107627926e-16 2.67047949448971e-16 -9.29602857067234e-16 1.0976425491914 -1.12881559758843 9.72533426365181e-17 4.22504288780578e-17 -3.05467465388454e-17 7.59467261106738e-17 -1.5433783869824e-16 -0.0949460805050561 1.0976425491914 -8.43154692457466e-18 -8.68721772331187e-33 4.69647737051861e-18 5.45086747991701e-17 -2.80222781510271e-16 5.21095100211052e-17 -1.5542688651723e-18 1.0
5410EC379B28,39.64 16.55 13.62 268.33 70.99 18.38 7.22,15.529 355.687 12.45 53.289 3.079 1.38 43.876,14.98 10.62 11.76 12.1 18.71 33.81 11.54,1.0 1.07284636042102e-16 -0.0143922297550562 2.06829298645974 -0.166396073332827 -0.750977263462976 -0.000530861213274363 -1.58253458568409e-16 1.0 -0.874765085881577 0.153944661538795 0.851214025187289 -2.15235720473204 -0.99260017599065 1.32466788401616e-16 -3.00408915580675e-16 1.95427909341149 -8.36353280816382 0.217861881385909 1.86994388904717 -0.0101159739568076 -1.06856945637555e-17 2.86958682946469e-17 -0.222983244558251 1.95427909341149 0.0733494941527802 -0.25095518053552 0.000354232628471696 6.24713768766424e-17 -1.27238896312995e-16 -9.0133113200686e-17 9.6784444932677e-16 1.02569358323222 -0.95871579224716 -3.21565747435307e-17 2.22408779429469e-17 -3.31505595283095e-17 7.98647111623289e-17 -1.78157684583419e-16 -0.0274885880306236 1.02569358323222 1.60851452033058e-18 0.0 0.0 0.0 0.0 0.0 0.0 1.0
5410EC388B2,47.22 14.0 9.72 195.24 42.54 19.41 3.16,28.995 330.665 9.446 38.275 1.459 1.551 94.752,10.55 12.6 12.46 13.56 39.6 34.4 11.15,1.0 -1.42596660498275e-17 0.00077637465940286 2.23943363358909 -0.305550440748733 -0.26190323921964 0.0071002670358014 -2.18448725105822e-16 1.0 -0.825854125351071 -0.350336535168194 0.0492148835950453 -2.49921829083408 -0.995648009346642 4.24819948878129e-16 7.17432300157414e-17 1.76915199025353 -7.21530947704999 0.0133155457271977 1.52175639224359 -0.006136551359473 -3.39716590997122e-17 5.26125443950679e-17 -0.188591602161026 1.76915199025353 0.109977004547654 -0.291836324329255 0.000254156374919827 2.79356436209309e-17 6.66616835677954e-18 -3.22657265479019e-17 1.69452866502578e-16 0.978977515157705 -1.81228317605994 4.85396643629803e-17 3.86045284030169e-18 0.0 0.0 8.65745153966057e-18 0.0113561391758294 0.978977515157705 2.29825108969777e-17 0.0 0.0 0.0 0.0 0.0 0.0 1.0
5410EC388D81,48.69 16.18 8.96 191.94 41.31 22.89 3.21,26.448 374.195 8.343 38.463 1.306 0.792 91.003,9.41 12.4 11.88 12.94 -45.8 64.36 11.16,1.0 -7.25784138202964e-17 -0.0364559190833713 2.16378403602385 -0.379452258622172 -0.149117050189894 0.0041627502172517 2.95797097640946e-17 1.0 -0.652383501791911 0.230830257809932 0.0644230887235312 -1.86566801213683 -0.992597943286845 -4.22517304082599e-16 3.39341908174732e-16 1.76598595207623 -7.10562107677391 0.311915037765604 0.911977793466536 -0.0135564145625182 2.80111715841118e-17 3.35751382806103e-17 -0.190373285633817 1.76598595207623 0.0572579155727049 -0.188806095491846 0.000461381489839458 -2.2384838942805e-16 -8.88647344716348e-17 -3.45645761767939e-17 -9.96994968118299e-17 0.997547210966731 -1.88676079482247 -1.96856053647285e-16 -4.59735777111238e-17 7.77226540468029e-17 -7.16147212155305e-17 9.33988262825021e-18 0.00129681137425679 0.997547210966731 -2.55912869741484e-19 0.0 0.0 0.0 0.0 0.0 0.0 1.0
5410EC388E1C,50.87 16.09 10.44 192.45 31.27 12.92 3.12,11.028 316.095 8.283 35.018 1.426 1.376 84.229,6.99 12.17 12.07 13.39 17.18 30.75 11.27,1.0 -1.0527398074226e-16 -0.0590946911208454 2.19007944351778 -0.398162680405754 -0.0267183317629955 0.00474676029587113 -7.73392209067167e-17 1.0 -0.775206395793757 -0.202866583238051 -0.0325980136690597 -1.70554532463788 -0.995378456960738 2.33818021255374e-16 2.57600811199471e-16 1.6796806080605 -6.21280263309419 0.422525783767868 0.410731964098833 -0.00336137683285088 -1.80789324643383e-17 1.11977531511486e-17 -0.183757058521819 1.6796806080605 0.0435134421130999 -0.169926368447055 -0.000632265374486125 1.30250384043999e-16 2.25413285774645e-16 -1.45579839528289e-16 1.03195472604662e-16 0.930126739999719 -2.04906920821938 -2.55637183636364e-16 3.46596224064977e-18 0.0 0.0 6.83314455744101e-18 0.0317173218339904 0.930126739999719 -8.71722796200001e-18 0.0 0.0 0.0 0.0 0.0 0.0 1.0
